FichierHandler|NomHandler|Endpoint|Methode|MiddlewareAuth|MiddlewareTenant|RateLimit|InputValidation|SecretsEnLogs|TenantIsolation|AutresRisques
auth_handler.go|Login|POST /api/v1/auth/login|POST|Non|Non|Non|Zod validation (email, password min=8)|Non|Manual safeGetString|Legacy JWT_SECRET en config deprecated; Pas de CSRF protection
auth_handler.go|RefreshToken|POST /api/v1/auth/refresh|POST|GetUserClaims check|Non|Non|Basic validation (token required)|Non|Manual GetUserClaims|Token dans request body - risque exposure
auth_handler.go|Register|POST /api/v1/auth/register|POST|Non|Non|Non|Zod validation (email, username min=3, password min=8)|Non|Aucune|Pas de email verification; Pas de rate limiting against spam
user_handler.go|GetMe|GET /api/v1/auth/me|GET|GetUserClaims|Non|Non|Implicite (check userID != nil)|Non|GetUserClaims injection|Retourne DTO - OK; Pas de tenant filter
user_handler.go|GetUsers|GET /api/v1/users|GET|GetUserClaims + admin check|Non|Non|Manuelle (admin role)|Non|Manual admin role check|CRITIQUE: Pas de tenant_id filter! Retourne tous users sans isolation
user_handler.go|CreateUser|POST /api/v1/users|POST|GetUserClaims + admin check|Non|Non|Manuelle (admin role)|Zod validation (email, username, password, role)|Non|Manual admin check|CRITIQUE: Pas de tenant_id! User créé sans tenant association
user_handler.go|UpdateUserStatus|PUT /api/v1/users/:id/status|PUT|GetUserClaims + admin check|Non|Non|Manuelle (admin role)|Basic (is_active boolean)|Non|Manual admin check|CRITIQUE: Pas de tenant isolation!
user_handler.go|DeleteUser|DELETE /api/v1/users/:id|DELETE|GetUserClaims + admin check|Non|Non|Manuelle (admin role)|Aucune|Non|Manual admin check|CRITIQUE: Pas de tenant filter! Soft delete possible sans isolation
user_handler.go|SeedAdminUser|INTERNAL|INTERNAL|Non (seed function)|Non|Non|Non|Hardcoded default admin123|Oui - WARNING en log|Non|CRITIQUE: Default credentials hardcoded! Password en env non forcé
risk_handler.go|CreateRisk|POST /api/v1/risks|POST|Non explicite|GetContext (org)|Non|Zod validation (title, impact 1-5, probability 1-5)|Non|GetContext.OrganizationID injection|OK - tenant filter present; Mais pas de auth middleware explicite
risk_handler.go|GetRisks|GET /api/v1/risks?filters|GET|Non explicite|GetContext (org)|Non|Manuelle (min_score, max_score parsing)|Non|GetContext.OrganizationID filter|OK - pagination avec min/max score filters; Pas d'auth middleware
risk_handler.go|GetRisk|GET /api/v1/risks/:id|GET|Non explicite|GetContext (org)|Non|Manuelle (UUID parsing)|Non|GetContext.OrganizationID implicit|OK - GetRisk use case isolate; Pas d'auth check!
risk_handler.go|UpdateRisk|PUT /api/v1/risks/:id|PUT|Non explicite|GetContext (org)|Non|Zod validation (tags dive uuid4)|Non|GetContext.OrganizationID filter|OK - tenant filter; Mais pas auth middleware
risk_handler.go|DeleteRisk|DELETE /api/v1/risks/:id|DELETE|Non explicite|GetContext (org)|Non|Manuelle (UUID parsing)|Non|GetContext.OrganizationID implicit|OK - delete with tenant filter; Pas auth middleware
organization_handler.go|CreateOrganization|POST /api/v1/organizations|POST|Non|Non|Non|Basic (name, description, etc)|Non|Aucune|CRITIQUE: Pas de user auth! Pas de tenant_id assignment à l'org créée
organization_handler.go|GetOrganization|GET /api/v1/organizations/:id|GET|Non|Non|Non|Manual UUID parsing|Non|Aucune|Retourne org sans tenant filter - cross-tenant data leak risque!
organization_handler.go|UpdateOrganization|PUT /api/v1/organizations/:id|PUT|Non|Non|Non|Manuelle (map updates)|Non|Aucune|CRITIQUE: Pas de permission check! N'importe qui peut modifier org
organization_handler.go|UpgradeSubscription|POST /api/v1/organizations/:id/upgrade|POST|Non|Non|Non|Basic (tier string)|Non|Aucune|CRITIQUE: Pas d'auth! Business logic exposed sans protection
organization_handler.go|AddMember|POST /api/v1/organizations/:id/members|POST|Non|Non|Non|Manual (userID, role)|Non|Aucune|CRITIQUE: Pas de permission check! Privilege escalation possible
organization_handler.go|RemoveMember|DELETE /api/v1/organizations/:id/members/:userId|DELETE|Non|Non|Non|Manual UUID parsing|Non|Aucune|CRITIQUE: Pas d'auth! N'importe qui peut remove members
notification_handler.go|GetNotifications|GET /api/v1/notifications|GET|Non explicite|safeGetUUID (tenant_id)|Non|Manuelle (limit max 100)|Non|safeGetUUID tenant_id filter|OK - tenant isolation; Mais pas auth middleware
notification_handler.go|GetUnreadCount|GET /api/v1/notifications/unread-count|GET|Non explicite|safeGetUUID (tenant_id)|Non|Aucune|Non|safeGetUUID tenant_id filter|OK - tenant filter; Pas auth middleware
notification_handler.go|MarkAsRead|PATCH /api/v1/notifications/:id/read|PATCH|Non explicite|safeGetUUID (tenant_id)|Non|Manual UUID parsing|Non|safeGetUUID tenant_id filter|OK - tenant isolation; Manque auth middleware
